PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+ COMMAND
6659,cps,20,0,374m,28m,3896,S,0,0.2, python /usr/local/bin/cps-client/cps_client/cpsclient.py -s 172.28.10.121
8393,root,20,0,0,0,0,S,0,0.0, [kworker/
8922,root,20,0,81820,3584,2756,S,0,0.0, sshd: root@notty
8930,root,20,0,9696,828,652,S,0,0.0, /usr/lib64/ssh/sftp-server -l INFO -f AUTH
9779,cps,20,0,236m,21m,3840,S,0,0.1, /usr/bin/python /usr/local/bin/zookeeper/zkServerMgr.py -z 172.28.10.121:
10144,cps,20,0,11508,1596,1136,S,0,0.0, /bin/sh -c python /usr/local/bin/cps-server/cps_server/cpsserver.py -z 17
10146,cps,20,0,303m,32m,4780,S,0,0.2, python /usr/local/bin/cps-server/cps_server/cpsserver.py -z 172.28.10.121
10233,root,20,0,0,0,0,S,0,0.0, [kworker/
10542,openstac,20,0,180m,30m,5120,S,0,0.2, /usr/bin/python /usr/bin/nova-novncproxy --config-file=/etc/nova/nova-nov
10687,root,0,-20,0,0,0,S,0,0.0, [iscsi_eh]
10688,root,18,-2,17024,932,416,S,0,0.0, /sbin/udevd --daemon
10689,root,18,-2,17024,776,260,S,0,0.0, /sbin/udevd --daemon
10698,cps,20,0,124m,8192,2792,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
10699,root,20,0,4828,484,384,S,0,0.0, /sbin/iscsid -c /etc/iscsi/iscsid.conf -n
10700,root,10,-10,5328,3216,2068,S,0,0.0, /sbin/iscsid -c /etc/iscsi/iscsid.conf -n
10747,cps,20,0,164m,24m,3964,S,0,0.2, python /usr/local/bin/upg-server/upg_server/upg_server.py -u 9882 -s 172.
11107,openstac,20,0,302m,75m,7732,S,0,0.5, /usr/bin/python /usr/bin/nova-api --config-file=/etc/nova/nova-api.conf
11236,cps,20,0,61556,8184,2792,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
11272,cps,20,0,65728,8356,2848,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
11424,root,20,0,9484,832,652,S,0,0.0, /usr/lib64/ssh/sftp-server -l INFO -f AUTH
11610,root,20,0,0,0,0,S,0,0.0, [kworker/
11703,gaussdba,20,0,1181m,7184,4744,S,0,0.0, gaussdb: OPENSTACK DVS 172.28.0.2(36099) idle
11790,openstac,20,0,288m,55m,1620,S,0,0.4, /usr/bin/python /usr/bin/nova-api --config-file=/etc/nova/nova-api.conf
